species	ensembl_assembly_accession	assembly_status
mycobacterium_kyorinense_gca_002101735	GCA_002101735.1	Contig
mycobacterium_kyorinense_gca_002101735	GCA_002101735.1	Contig
mycobacterium_intracellulare_atcc_13950_gca_000277125	GCA_000277125.1	Complete Genome
stenotrophomonas_pavanii_gca_002205885	GCA_002205885.1	Contig
stenotrophomonas_sp_lmg_10879_gca_002750935	GCA_002750935.1	Contig
flavobacteria_bacterium_ms024_2a_gca_000173095	GCA_000173095.1	
xanthomonas_arboricola_pv_corylina_gca_002939845	GCA_002939845.1	Scaffold
xanthomonas_arboricola_pv_fragariae_gca_900240365	GCA_900240365.1	Contig
xanthomonas_arboricola_pv_populi_gca_002939945	GCA_002939945.1	Contig
xanthomonas_arboricola_pv_populi_gca_002940585	GCA_002940585.1	Contig
xanthomonas_axonopodis_pv_melhusii_gca_002019215	GCA_002019215.1	Contig
xanthomonas_campestris_pv_arecae_gca_000770355	GCA_000770355.2	Complete Genome
xanthomonas_arboricola_pv_arracaciae_gca_002940565	GCA_002940565.1	Contig
xanthomonas_campestris_pv_durantae_gca_002019265	GCA_002019265.1	
xanthomonas_campestris_pv_durantae_gca_002019265	GCA_002019265.1	
xanthomonas_arboricola_pv_guizotiae_gca_002940145	GCA_002940145.1	Contig
xanthomonas_campestris_pv_vitiscarnosae_gca_002019305	GCA_002019305.1	Contig
xanthomonas_translucens_pv_phlei_gca_001282885	GCA_001282885.1	Contig
xanthomonas_translucens_pv_undulosa_gca_003050685	GCA_003050685.1	Complete Genome
streptococcus_pneumoniae_70585_gca_000018965	GCA_000018965.1	Complete Genome
streptococcus_pneumoniae_jja_gca_000018985	GCA_000018985.1	Complete Genome
burkholderia_latens_gca_001718795	GCA_001718795.1	Complete Genome
burkholderia_contaminans_gca_001720405	GCA_001720405.1	Contig
burkholderia_contaminans_gca_002924455	GCA_002924455.1	Chromosome
burkholderia_contaminans_gca_002981225	GCA_002981225.1	Contig
burkholderia_contaminans_gca_003853875	GCA_003853875.1	Contig
burkholderia_contaminans_gca_003854375	GCA_003854375.1	Contig
marinobacter_mobilis_gca_900106945	GCA_900106945.1	Scaffold
marinobacter_zhejiangensis_gca_900114775	GCA_900114775.1	Scaffold
clostridium_perfringens_d_str_jgs1721_gca_000172455	GCA_000172455.1	Contig
candidatus_puniceispirillum_marinum_imcc1322_gca_000024465	GCA_000024465.1	Complete Genome
jhaorihella_thermophila_gca_900108275	GCA_900108275.1	Scaffold
burkholderia_metallica_gca_001718555	GCA_001718555.1	Complete Genome
burkholderia_seminalis_gca_001524085	GCA_001524085.1	Contig
burkholderia_diffusa_gca_001718315	GCA_001718315.1	Complete Genome
pseudomonas_chengduensis_gca_900102635	GCA_900102635.1	Scaffold
neisseria_lactamica_020_06_gca_000196295	GCA_000196295.1	Complete Genome
solimonas_aquatica_gca_900111015	GCA_900111015.1	Scaffold
moorea_producens_3l_gca_000211815	GCA_000211815.1	Scaffold
hydrocarboniphaga_daqingensis_gca_900129825	GCA_900129825.1	Scaffold
flavobacterium_caeni_gca_900101895	GCA_900101895.1	Scaffold
amycolatopsis_marina_gca_900111885	GCA_900111885.1	Scaffold
marinobacter_sp_bss20148_gca_000283275	GCA_000283275.1	Complete Genome
lutimaribacter_saemankumensis_gca_900100005	GCA_900100005.1	Contig
halomonas_sp_tbz3_gca_005780185	GCA_005780185.1	Contig
enterococcus_faecalis_tx0104_gca_000159255	GCA_000159255.1	Scaffold
lactobacillus_reuteri_sd2112_gca_000159455	GCA_000159455.2	Complete Genome
chryseobacterium_oleae_gca_900115055	GCA_900115055.1	Contig
chryseobacterium_oleae_gca_900115055	GCA_900115055.1	Contig
anoxybacillus_flavithermus_wk1_gca_000019045	GCA_000019045.1	Complete Genome
rhizobium_etli_ciat_652_gca_000020265	GCA_000020265.1	Complete Genome
megamonas_rupellensis_gca_003457635	GCA_003457635.1	Scaffold
megamonas_rupellensis_gca_003458205	GCA_003458205.1	Scaffold
marinomonas_balearica_gca_004362145	GCA_004362145.1	Scaffold
marinomonas_rhizomae_gca_003315485	GCA_003315485.1	Scaffold
marinomonas_alcarazii_gca_003208215	GCA_003208215.1	Scaffold
marinomonas_foliarum_gca_003337275	GCA_003337275.1	Scaffold
marinomonas_aquiplantarum_gca_003314975	GCA_003314975.1	Scaffold
marinomonas_posidonica_ivia_po_181_gca_000214215	GCA_000214215.1	Complete Genome
marinomonas_pollencensis_gca_003387375	GCA_003387375.1	Scaffold
methylophilus_rhizosphaerae_gca_900100975	GCA_900100975.1	Scaffold
bacillus_velezensis_gca_002761535	GCA_002761535.1	Complete Genome
bacillus_velezensis_gca_002943735	GCA_002943735.1	Contig
bacillus_velezensis_gca_004101805	GCA_004101805.1	Complete Genome
bacillus_velezensis_gca_004119855	GCA_004119855.1	Complete Genome
bacillus_velezensis_gca_004135455	GCA_004135455.2	Chromosome
bacillus_velezensis_gca_005518225	GCA_005518225.1	Scaffold
bacillus_velezensis_gca_005636205	GCA_005636205.1	Contig
bacillus_velezensis_gca_005843905	GCA_005843905.1	Scaffold
bacillus_velezensis_gca_006350975	GCA_006350975.1	Contig
bacillus_velezensis_gca_006351595	GCA_006351595.1	Contig
bacillus_velezensis_gca_006351615	GCA_006351615.1	Contig
bacillus_velezensis_gca_006351625	GCA_006351625.1	Contig
bacillus_velezensis_gca_006351665	GCA_006351665.1	Contig
bacillus_velezensis_gca_006351675	GCA_006351675.1	Contig
bacillus_velezensis_gca_006351695	GCA_006351695.1	Contig
bacillus_velezensis_gca_006351705	GCA_006351705.1	Contig
bacillus_velezensis_gca_006351725	GCA_006351725.1	
streptomyces_sp_1_gca_002754615	GCA_002754615.1	
streptomyces_sp_19_gca_003550195	GCA_003550195.1	
chryseobacterium_humi_gca_900108025	GCA_900108025.1	Contig
paraglaciecola_arctica_bss20135_gca_000314995	GCA_000314995.1	Contig
falsibacillus_pallidus_gca_003350505	GCA_003350505.1	Scaffold
microbulbifer_donghaiensis_gca_900129095	GCA_900129095.1	Scaffold
paenibacillus_glacialis_gca_001637205	GCA_001637205.1	Contig
anseongella_ginsenosidimutans_gca_004346135	GCA_004346135.1	Contig
mycoplasma_fermentans_pg18_gca_000209735	GCA_000209735.1	Chromosome
thauera_sp_63_gca_000310165	GCA_000310165.2	Contig
kosakonia_oryzae_gca_900168185	GCA_900168185.1	Chromosome
brevibacillus_panacihumi_gca_003710985	GCA_003710985.1	Contig
chthoniobacter_flavus_ellin428_gca_000173075	GCA_000173075.1	Scaffold
gloeothece_verrucosa_pcc_7822_gca_000147335	GCA_000147335.1	Complete Genome
cellvibrio_japonicus_ueda107_gca_000019225	GCA_000019225.1	Complete Genome
clostridium_botulinum_b1_str_okra_gca_000019305	GCA_000019305.1	Complete Genome
clostridium_botulinum_a3_str_loch_maree_gca_000019545	GCA_000019545.1	Complete Genome
edwardsiella_tarda_eib202_gca_000020865	GCA_000020865.1	Complete Genome
flavobacterium_swingsii_gca_900111965	GCA_900111965.1	Contig
borreliella_burgdorferi_64b_gca_000172335	GCA_000172335.2	Contig
borreliella_finlandensis_gca_000181875	GCA_000181875.2	Scaffold
borreliella_spielmanii_a14s_gca_000181895	GCA_000181895.2	Scaffold
borreliella_garinii_pbr_gca_000172275	GCA_000172275.2	Contig
heliobacterium_modesticaldum_ice1_gca_000019165	GCA_000019165.1	Complete Genome
thermus_aquaticus_y51mc23_gca_000173055	GCA_000173055.1	
syntrophaceticus_schinkii_gca_000946815	GCA_000946815.1	Contig
dietzia_timorensis_gca_001659785	GCA_001659785.1	Complete Genome
erythrobacter_sp_ap23_gca_001542855	GCA_001542855.1	Contig
dyella_marensis_gca_900112865	GCA_900112865.1	Scaffold
tyzzerella_nexilis_dsm_1787_gca_000156035	GCA_000156035.2	Scaffold
_clostridium_hiranonis_dsm_13275_gca_000156055	GCA_000156055.1	Scaffold
bifidobacterium_bifidum_atcc_29521_jcm_1255_dsm_20456_gca_000466525	GCA_000466525.1	Scaffold
mitsuokella_multacida_dsm_20544_gca_000155955	GCA_000155955.1	Scaffold
providencia_rustigianii_dsm_4541_gca_000156395	GCA_000156395.1	Scaffold
edwardsiella_tarda_atcc_23685_gca_000163955	GCA_000163955.1	Scaffold
enterobacter_cancerogenus_atcc_35316_gca_000155995	GCA_000155995.1	Scaffold
citrobacter_youngae_atcc_29220_gca_000155975	GCA_000155975.1	Scaffold
nocardiopsis_sinuspersici_gca_001998325	GCA_001998325.1	Scaffold
rhizobium_tibeticum_gca_900108425	GCA_900108425.1	Contig
citreicella_sp_se45_gca_000161755	GCA_000161755.1	
butyricicoccus_pullicaecorum_gca_002160355	GCA_002160355.1	Contig
butyricicoccus_pullicaecorum_gca_002160385	GCA_002160385.1	Contig
thalassospira_sp_mccc_1a01148_gca_001613795	GCA_001613795.1	Contig
thalassospira_sp_mccc_1a02898_gca_001618185	GCA_001618185.1	Contig
haliangium_ochraceum_dsm_14365_gca_000024805	GCA_000024805.1	Complete Genome
thalassospira_profundimaris_gca_001662835	GCA_001662835.1	Contig
thalassospira_profundimaris_gca_003326675	GCA_003326675.1	Contig
thalassospira_profundimaris_gca_003326695	GCA_003326695.1	Contig
thalassospira_profundimaris_gca_003326755	GCA_003326755.1	Contig
thalassospira_profundimaris_gca_003326795	GCA_003326795.1	Contig
thalassospira_profundimaris_gca_003326805	GCA_003326805.1	Contig
actinophytocola_oryzae_gca_004364325	GCA_004364325.1	Contig
escherichia_albertii_tw07627_gca_000155105	GCA_000155105.1	Scaffold
idiomarina_tainanensis_gca_003337635	GCA_003337635.1	Scaffold
idiomarina_marina_gca_003987045	GCA_003987045.1	Contig
erythrobacter_gangjinensis_gca_001010925	GCA_001010925.1	Contig
erythrobacter_gangjinensis_gca_001886695	GCA_001886695.1	Complete Genome
yersinia_pseudotuberculosis_ypiii_gca_000019465	GCA_000019465.1	
spirosoma_linguale_dsm_74_gca_000024525	GCA_000024525.1	Complete Genome
corynebacterium_urealyticum_dsm_7109_gca_000069945	GCA_000069945.1	Complete Genome
cellulophaga_tyrosinoxydans_gca_900176415	GCA_900176415.1	Scaffold
jejuia_pallidilutea_gca_000764775	GCA_000764775.1	Contig
jejuia_pallidilutea_gca_000775755	GCA_000775755.1	Contig
jejuia_pallidilutea_gca_002973595	GCA_002973595.1	Contig
meiothermus_ruber_dsm_1279_gca_000376665	GCA_000376665.1	Chromosome
actinopolymorpha_cephalotaxi_gca_900113145	GCA_900113145.1	Scaffold
alloactinosynnema_album_gca_900104505	GCA_900104505.1	Scaffold
geodermatophilus_ruber_gca_900114385	GCA_900114385.1	Scaffold
sinosporangium_album_gca_900100605	GCA_900100605.1	Scaffold
oligotropha_carboxidovorans_om5_gca_000218565	GCA_000218565.1	Complete Genome
arcobacter_marinus_gca_003544855	GCA_003544855.1	Complete Genome
arcobacter_marinus_gca_900168035	GCA_900168035.1	Scaffold
marivita_cryptomonadis_gca_002115725	GCA_002115725.1	Contig
chelonobacter_oris_gca_000772535	GCA_000772535.1	Contig
gallibacterium_salpingitidis_gca_001678495	GCA_001678495.1	Contig
gallibacterium_salpingitidis_gca_001678545	GCA_001678545.1	Contig
gallibacterium_genomosp_3_gca_001678475	GCA_001678475.1	Contig
gallibacterium_genomosp_3_gca_001678485	GCA_001678485.1	Contig
gallibacterium_genomosp_3_gca_001678635	GCA_001678635.1	Contig
roseovarius_halotolerans_gca_900172255	GCA_900172255.1	Contig
ureaplasma_parvum_serovar_3_str_atcc_27815_gca_000019345	GCA_000019345.1	Complete Genome
rheinheimera_sp_a13l_gca_000217935	GCA_000217935.2	Contig
bosea_sp_biwako_01_gca_001748145	GCA_001748145.1	Contig
halomonas_chromatireducens_gca_001545155	GCA_001545155.1	Complete Genome
lactobacillus_taiwanensis_gca_002253065	GCA_002253065.1	Scaffold
bradyrhizobium_genosp_sa_3_gca_004212635	GCA_004212635.1	Contig
acinetobacter_baumannii_sdf_gca_000069205	GCA_000069205.1	Chromosome
acinetobacter_baumannii_aye_gca_000069245	GCA_000069245.1	Complete Genome
caulobacter_segnis_atcc_21756_gca_000092285	GCA_000092285.1	Complete Genome
thermoanaerobacter_ethanolicus_jw_200_gca_000192295	GCA_000192295.2	Contig
thermoanaerobacter_brockii_subsp_finnii_ako_1_gca_000175295	GCA_000175295.2	Complete Genome
sphaerisporangium_album_gca_003323745	GCA_003323745.1	Scaffold
pedobacter_sp_v48_gca_000523515	GCA_000523515.1	Scaffold
chryseobacterium_solincola_gca_000812875	GCA_000812875.1	Contig
oceanimonas_sp_gk1_gca_000243075	GCA_000243075.1	Complete Genome
escherichia_coli_str_k_12_substr_mg1655_gca_000005845	GCA_000005845.2	Complete Genome
brevibacillus_fluminis_gca_003710825	GCA_003710825.1	Contig
butyrivibrio_crossotus_dsm_2876_gca_000156015	GCA_000156015.1	Scaffold
candidatus_azobacteroides_pseudotrichonymphae_genomovar_cfp2_gca_000010645	GCA_000010645.1	Complete Genome
aliivibrio_finisterrensis_gca_004167995	GCA_004167995.1	Contig
aliivibrio_finisterrensis_gca_004168445	GCA_004168445.1	Contig
flavobacteriaceae_bacterium_jjc_gca_002197835	GCA_002197835.1	Contig
nocardioides_sp_slbn_35_gca_000238595	GCA_000238595.2	Contig
actinoplanes_xinjiangensis_gca_003148685	GCA_003148685.1	Scaffold
paenibacillus_pectinilyticus_gca_001700435	GCA_001700435.1	Scaffold
mycolicibacter_heraklionensis_gca_001021505	GCA_001021505.1	Scaffold
mycolicibacter_heraklionensis_gca_001672655	GCA_001672655.1	
mycolicibacter_heraklionensis_gca_001673105	GCA_001673105.1	
mycolicibacter_heraklionensis_gca_001673575	GCA_001673575.1	
mycolicibacter_heraklionensis_gca_001953995	GCA_001953995.1	
mycoplasma_crocodyli_mp145_gca_000025845	GCA_000025845.1	Complete Genome
actinoplanes_missouriensis_431_gca_000284295	GCA_000284295.1	Complete Genome
photobacterium_aquimaris_gca_003025415	GCA_003025415.1	Contig
photobacterium_aquimaris_gca_003025625	GCA_003025625.1	Contig
photobacterium_aquimaris_gca_900185565	GCA_900185565.1	Scaffold
kineococcus_xinjiangensis_gca_002934625	GCA_002934625.1	Contig
rufibacter_tibetensis_gca_001310085	GCA_001310085.1	Complete Genome
arthrospira_maxima_cs_328_gca_000173555	GCA_000173555.1	Contig
burkholderia_multivorans_cgd1_gca_000182255	GCA_000182255.1	Contig
burkholderia_multivorans_cgd2_gca_000182275	GCA_000182275.1	Contig
bartonella_sp_1_1c_gca_002810325	GCA_002810325.1	Complete Genome
jishengella_endophytica_gca_003236305	GCA_003236305.1	Contig
pseudomonas_yamanorum_gca_001612705	GCA_001612705.2	Complete Genome
pseudomonas_yamanorum_gca_900105735	GCA_900105735.1	Chromosome
oceanotoga_teriensis_gca_003148465	GCA_003148465.1	Scaffold
candidatus_riesia_pediculicola_usda_gca_000093065	GCA_000093065.1	Complete Genome
_eubacterium_rectale_atcc_33656_gca_000020605	GCA_000020605.1	Complete Genome
_eubacterium_eligens_atcc_27750_gca_000146185	GCA_000146185.1	Complete Genome
clostridium_botulinum_ba4_str_657_gca_000020345	GCA_000020345.1	Complete Genome
butyrivibrio_proteoclasticus_b316_gca_000145035	GCA_000145035.1	Complete Genome
dictyoglomus_turgidum_dsm_6724_gca_000021645	GCA_000021645.1	Complete Genome
pontibaca_methylaminivorans_gca_900156525	GCA_900156525.1	Contig
muricauda_lutaonensis_gca_000963865	GCA_000963865.1	Complete Genome
streptomyces_hyalinus_gca_003967355	GCA_003967355.1	Scaffold
burkholderia_sp_h160_gca_000173575	GCA_000173575.1	Contig
streptococcus_pneumoniae_cgsp14_gca_000019985	GCA_000019985.1	Complete Genome
stenotrophomonas_chelatiphaga_gca_001431535	GCA_001431535.1	Contig
chlorobaculum_parvum_ncib_8327_gca_000020505	GCA_000020505.1	Complete Genome
chloroherpeton_thalassium_atcc_35110_gca_000020525	GCA_000020525.1	Complete Genome
salsuginibacillus_halophilus_gca_003014715	GCA_003014715.1	Contig
pantoea_sp_ab_gca_000179655	GCA_000179655.1	Contig
pseudooceanicola_nitratireducens_gca_900112545	GCA_900112545.1	Scaffold
stakelama_pacifica_gca_004361835	GCA_004361835.1	Contig
bifidobacterium_breve_dsm_20213_jcm_1192_gca_000158015	GCA_000158015.1	Scaffold
bifidobacterium_angulatum_dsm_20098_jcm_7096_gca_000156635	GCA_000156635.1	Scaffold
_clostridium_asparagiforme_dsm_15981_gca_000158075	GCA_000158075.1	Scaffold
holdemanella_biformis_dsm_3989_gca_000156655	GCA_000156655.1	Scaffold
streptomyces_nanshensis_gca_001751255	GCA_001751255.1	Scaffold
streptomyces_nanshensis_gca_001751265	GCA_001751265.1	Scaffold
streptomyces_nanshensis_gca_001751275	GCA_001751275.1	Scaffold
streptomyces_nanshensis_gca_001751305	GCA_001751305.1	Scaffold
bifidobacterium_mongoliense_gca_003788965	GCA_003788965.1	Contig
rhodothermus_marinus_dsm_4252_gca_000024845	GCA_000024845.1	Complete Genome
ponticoccus_gilvus_gca_004362375	GCA_004362375.1	Scaffold
bacillus_trypoxylicola_gca_001590785	GCA_001590785.1	Scaffold
streptobacillus_moniliformis_dsm_12112_gca_000024565	GCA_000024565.1	Complete Genome
idiomarina_donghaiensis_gca_003987405	GCA_003987405.1	Contig
idiomarina_maritima_gca_003182315	GCA_003182315.1	Scaffold
idiomarina_maritima_gca_900115255	GCA_900115255.1	Contig
vagococcus_teuberi_gca_001870205	GCA_001870205.1	Complete Genome
ectothiorhodospira_sp_phs_1_gca_000225005	GCA_000225005.2	Contig
tahibacter_aquaticus_gca_004363655	GCA_004363655.1	Scaffold
brucella_sp_nvsl_07_0026_gca_000163135	GCA_000163135.1	Scaffold
brucella_sp_83_13_gca_000157875	GCA_000157875.1	Scaffold
brucella_abortus_bv_5_str_b3196_gca_000163115	GCA_000163115.1	Scaffold
brucella_pinnipedialis_m292_94_1_gca_000158675	GCA_000158675.1	Scaffold
thermotalea_metallivorans_gca_001562415	GCA_001562415.1	Contig
fervidicola_ferrireducens_gca_001562425	GCA_001562425.1	Contig
thermovenabulum_gondwanense_gca_001601575	GCA_001601575.1	Contig
providencia_alcalifaciens_dsm_30120_gca_000173415	GCA_000173415.1	Contig
providencia_rettgeri_dsm_1131_gca_000158055	GCA_000158055.1	Scaffold
neisseria_gonorrhoeae_nccp11945_gca_000020105	GCA_000020105.1	Complete Genome
borreliella_bissettii_dn127_gca_000222305	GCA_000222305.1	Complete Genome
limimaricola_pyoseonensis_gca_900102015	GCA_900102015.1	Scaffold
kosmotoga_olearia_tbf_19_5_1_gca_000023325	GCA_000023325.1	Complete Genome
atopobium_parvulum_dsm_20469_gca_000024225	GCA_000024225.1	Complete Genome
tsukamurella_paurometabola_dsm_20162_gca_000092225	GCA_000092225.1	Complete Genome
capnocytophaga_ochracea_dsm_7271_gca_000023285	GCA_000023285.1	Complete Genome
alicyclobacillus_acidocaldarius_subsp_acidocaldarius_dsm_446_gca_000024285	GCA_000024285.1	Complete Genome
caldicellulosiruptor_bescii_dsm_6725_gca_000022325	GCA_000022325.1	Complete Genome
planctopirus_limnophila_dsm_3776_gca_000092105	GCA_000092105.1	Complete Genome
staphylococcus_rostri_gca_002902145	GCA_002902145.1	Scaffold
candidatus_accumulibacter_phosphatis_clade_iia_str_uw_1_gca_000024165	GCA_000024165.1	
dyella_soli_gca_004336905	GCA_004336905.1	Contig
stenotrophomonas_maltophilia_k279a_gca_000072485	GCA_000072485.1	Complete Genome
campylobacter_avium_lmg_24591_gca_002238335	GCA_002238335.1	Complete Genome
denitrovibrio_acetiphilus_dsm_12809_gca_000025725	GCA_000025725.1	Complete Genome
pleionea_mediterranea_gca_003148745	GCA_003148745.1	Scaffold
kangiella_koreensis_dsm_16069_gca_000024085	GCA_000024085.1	Complete Genome
leptotrichia_buccalis_c_1013_b_gca_000023905	GCA_000023905.1	Complete Genome
desulfovibrio_desulfuricans_atcc_27774_gca_000022125	GCA_000022125.1	
acinetobacter_sp_atcc_27244_gca_000156555	GCA_000156555.1	Scaffold
actinomyces_coleocanis_dsm_15436_gca_000159015	GCA_000159015.1	Scaffold
actinomyces_urogenitalis_dsm_15434_gca_000159035	GCA_000159035.1	Scaffold
anaerococcus_lactolyticus_atcc_51172_gca_000156575	GCA_000156575.1	Scaffold
anaerococcus_tetradius_atcc_35098_gca_000159095	GCA_000159095.1	Scaffold
clostridioides_difficile_nap08_gca_000164175	GCA_000164175.1	Scaffold
corynebacterium_accolens_atcc_49725_gca_000159115	GCA_000159115.1	Scaffold
corynebacterium_lipophiloflavum_dsm_44291_gca_000159635	GCA_000159635.1	Scaffold
corynebacterium_pseudogenitalium_atcc_33035_gca_000156615	GCA_000156615.2	Scaffold
corynebacterium_striatum_atcc_6940_gca_000159135	GCA_000159135.1	Scaffold
erysipelothrix_rhusiopathiae_atcc_19414_gca_000160815	GCA_000160815.2	Contig
finegoldia_magna_atcc_53516_gca_000159695	GCA_000159695.1	Chromosome
fusobacterium_nucleatum_subsp_nucleatum_atcc_23726_gca_000178895	GCA_000178895.1	Contig
gardnerella_vaginalis_atcc_14019_gca_000159155	GCA_000159155.2	Complete Genome
lactobacillus_antri_dsm_16041_gca_000160835	GCA_000160835.1	Scaffold
lactobacillus_brevis_subsp_gravesensis_atcc_27305_gca_000159175	GCA_000159175.1	Scaffold
lactobacillus_buchneri_atcc_11577_gca_000159195	GCA_000159195.1	
lactobacillus_fermentum_atcc_14931_gca_000159215	GCA_000159215.1	Scaffold
lactobacillus_iners_dsm_13335_gca_000160875	GCA_000160875.1	Scaffold
lactobacillus_jensenii_jv_v16_gca_000159335	GCA_000159335.1	Chromosome
lactobacillus_johnsonii_atcc_33200_gca_000159355	GCA_000159355.1	Scaffold
lactobacillus_johnsonii_atcc_33200_gca_001433975	GCA_001433975.1	Contig
lactobacillus_paracasei_subsp_paracasei_atcc_25302_gca_000159495	GCA_000159495.1	Scaffold
lactobacillus_plantarum_subsp_plantarum_atcc_14917_jcm_1149_cgmcc_1_2437_gca_000143745	GCA_000143745.1	Scaffold
lactobacillus_rhamnosus_lms2_1_gca_000160175	GCA_000160175.1	Scaffold
lactobacillus_ruminis_atcc_25644_gca_000159375	GCA_000159375.2	Scaffold
lactobacillus_ultunensis_dsm_16047_gca_000159415	GCA_000159415.1	Scaffold
listeria_grayi_dsm_20601_gca_000148995	GCA_000148995.1	Scaffold
mycobacterium_parascrofulaceum_atcc_baa_614_gca_000164135	GCA_000164135.1	Scaffold
rhodococcus_hoagii_atcc_33707_gca_000164155	GCA_000164155.2	Chromosome
roseomonas_cervicalis_atcc_49957_gca_000164635	GCA_000164635.1	Scaffold
sphingobacterium_spiritivorum_atcc_33300_gca_000159515	GCA_000159515.1	Scaffold
sphingobacterium_spiritivorum_atcc_33861_gca_000143765	GCA_000143765.1	Scaffold
staphylococcus_epidermidis_w23144_gca_000160235	GCA_000160235.1	Scaffold
staphylococcus_caprae_m23864_w1_gca_000160215	GCA_000160215.1	Scaffold
streptococcus_equinus_atcc_9812_gca_000187265	GCA_000187265.1	Scaffold
streptococcus_pneumoniae_tch8431_19a_gca_000196595	GCA_000196595.1	Complete Genome
paracoccus_chinensis_gca_900102885	GCA_900102885.1	Contig
paracoccus_chinensis_gca_900102885	GCA_900102885.1	Contig
desulfomicrobium_baculatum_dsm_4028_gca_000023225	GCA_000023225.1	Complete Genome
sulfurospirillum_deleyianum_dsm_6946_gca_000024885	GCA_000024885.1	Complete Genome
thermanaerovibrio_acidaminovorans_dsm_6589_gca_000024905	GCA_000024905.1	Complete Genome
thermobaculum_terrenum_atcc_baa_798_gca_000025005	GCA_000025005.1	Complete Genome
acidimicrobium_ferrooxidans_dsm_10331_gca_000023265	GCA_000023265.1	Complete Genome
thiothrix_lacustris_gca_002083875	GCA_002083875.1	Scaffold
thiothrix_caldifontis_gca_900107695	GCA_900107695.1	Scaffold
anaerococcus_prevotii_dsm_20548_gca_000024105	GCA_000024105.1	Complete Genome
oceanibaculum_indicum_gca_003633955	GCA_003633955.1	Contig
sebaldella_termitidis_atcc_33386_gca_000024405	GCA_000024405.1	Complete Genome
desulfovibrio_salexigens_dsm_2638_gca_000023445	GCA_000023445.1	Complete Genome
brachyspira_murdochii_dsm_12563_gca_000092845	GCA_000092845.1	Complete Genome
geodermatophilus_obscurus_dsm_43160_gca_000025345	GCA_000025345.1	Complete Genome
gordonia_bronchialis_dsm_43247_gca_000024785	GCA_000024785.1	Complete Genome
meiothermus_silvanus_dsm_9946_gca_000092125	GCA_000092125.1	Complete Genome
krasilnikoviella_flava_gca_900167525	GCA_900167525.1	Scaffold
tetragenococcus_osmophilus_gca_003795125	GCA_003795125.1	Complete Genome
rhizobium_phaseoli_brasil_5_gca_000172715	GCA_000172715.2	Complete Genome
bacillus_cereus_172560w_gca_000160935	GCA_000160935.1	Chromosome
bacillus_cereus_r309803_gca_000160995	GCA_000160995.1	Chromosome
bacillus_cereus_m1550_gca_000161035	GCA_000161035.1	Chromosome
bacillus_cereus_bgsc_6e1_gca_000160915	GCA_000160915.1	Chromosome
bacillus_cereus_m1293_gca_000003645	GCA_000003645.1	Chromosome
bacillus_cereus_bdrd_st26_gca_000161075	GCA_000161075.1	Chromosome
bacillus_cereus_bdrd_st196_gca_000161095	GCA_000161095.1	Chromosome
bacillus_cereus_atcc_4342_gca_000161015	GCA_000161015.1	Chromosome
bacillus_cereus_bdrd_cer4_gca_000161115	GCA_000161115.1	Chromosome
bacillus_cereus_95_8201_gca_000161135	GCA_000161135.1	Chromosome
bacillus_cereus_rock1_15_gca_000161175	GCA_000161175.1	Chromosome
bacillus_cereus_rock3_28_gca_000161195	GCA_000161195.1	Chromosome
bacillus_cereus_rock3_29_gca_000161215	GCA_000161215.1	Chromosome
bacillus_cereus_rock3_42_gca_000161235	GCA_000161235.1	Chromosome
bacillus_cereus_rock3_44_gca_000161255	GCA_000161255.1	Chromosome
bacillus_cereus_rock4_2_gca_000161275	GCA_000161275.1	Chromosome
bacillus_cereus_rock4_18_gca_000161295	GCA_000161295.1	Chromosome
bacillus_cereus_f65185_gca_000161315	GCA_000161315.1	Chromosome
bacillus_cereus_ah1271_gca_000161375	GCA_000161375.1	Chromosome
bacillus_cereus_ah1272_gca_000161395	GCA_000161395.1	Chromosome
bacillus_pseudomycoides_dsm_12442_gca_000161455	GCA_000161455.1	Chromosome
bacillus_thuringiensis_serovar_tochigiensis_bgsc_4y1_gca_000161475	GCA_000161475.1	
bacillus_thuringiensis_serovar_sotto_str_t04001_gca_000161535	GCA_000161535.1	Chromosome
bacillus_thuringiensis_serovar_pakistani_str_t13001_gca_000161555	GCA_000161555.1	Chromosome
bacillus_thuringiensis_serovar_pondicheriensis_bgsc_4ba1_gca_000161655	GCA_000161655.1	Chromosome
bacillus_thuringiensis_serovar_huazhongensis_bgsc_4bd1_gca_000161675	GCA_000161675.1	Chromosome
bacillus_thuringiensis_serovar_andalousiensis_bgsc_4aw1_gca_000161635	GCA_000161635.1	Chromosome
paenibacillus_xylanexedens_gca_001908275	GCA_001908275.1	Complete Genome
paenibacillus_xylanexedens_gca_003833245	GCA_003833245.1	Contig
azospirillum_thiophilum_gca_000960825	GCA_000960825.1	Contig
neisseria_gonorrhoeae_dgi2_gca_000159935	GCA_000159935.1	Scaffold
bacillus_thuringiensis_ybt_1518_gca_000497525	GCA_000497525.2	Complete Genome
belliella_pelovolcani_gca_900156785	GCA_900156785.1	Scaffold
proteus_mirabilis_hi4320_gca_000069965	GCA_000069965.1	Complete Genome
frateuria_terrea_gca_900109025	GCA_900109025.1	Scaffold
rhodoluna_lacicola_gca_000699505	GCA_000699505.1	Complete Genome
pirellula_staleyi_dsm_6068_gca_000025185	GCA_000025185.1	Complete Genome
prauserella_marina_gca_003182115	GCA_003182115.1	Scaffold
prauserella_marina_gca_900102755	GCA_900102755.1	Scaffold
